PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
N11	3	47	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,47	Q4_SLICE@22,33	
N12	3	44	72	D	PICR0_DQS2		RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,46	H06W0303@69,40	
N13	3	38	72	A	PICR0		RDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,38	Q6_SLICE@61,18	
N14	3	35	72	D	PICR0		RDQ32	-									1	0	0	0	0	0	G_HPBX0000@71,37	Q6_SLICE@70,20	
N16	3	32	72	A	PICR0_DQS2		RDQS32	-									0	0	0	0	0	0			
N3	6	35	0	D	PICL0		LDQ32	-									1	0	0	0	0	0	G_HPBX0000@1,37	H02E0701@1,37	
N4	6	38	0	A	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,38	Q6_SLICE@11,38	
N5	6	44	0	D	PICL0_DQS2		LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,46	H02E0501@1,46	
N6	6	47	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,47	H02E0701@1,47	
N7	8	50	9	A	PICB0	D3/IO3		OUTPUT_LVCMOS25	4	NONE			ON			CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@9,49	V02N0501@9,49	
N8	8	50	15	A	PICB0	HOLDN/DI/BUSY/CSSPIN/CEN		OUTPUT_LVTTL33	8	NONE			ON	OFF		CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX;OUTREG.REGSET=SET	1	0	0	0	0	0	G_HPBX0000@15,49	F2@29,47	
P1	6	35	0	A	PICL0		LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0000@1,35	H02E0501@1,35	
P11	3	47	72	C	PICR0	LRC_GPLL0T_IN	RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,49	V06N0203@71,50	
P12	3	47	72	D	PICR0	LRC_GPLL0C_IN	RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,49	V06N0103@71,50	
P13	3	41	72	A	PICR0		RDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,41	H02W0501@71,41	
P14	3	38	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,38	H02W0501@71,38	
P15	3	32	72	B	PICR0_DQS2		RDQSN32	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,32	H02W0701@71,32	
P16	3	35	72	A	PICR0		RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	0	G_HPBX0100@71,35		
P2	6	32	0	B	PICL0_DQS2		LDQSN32	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,32	Q0_SLICE@60,18	
P3	6	38	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,38	Q4_SLICE@11,35	
P4	6	41	0	A	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,41	H06E0203@0,41	
P5	6	47	0	D	PICL0	LLC_GPLL0C_IN	LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,49	V02N0701@1,49	
P6	6	47	0	C	PICL0	LLC_GPLL0T_IN	LDQ44	-									0	0	0	0	0	0			
P7	8	50	6	B	EFB2_PICB0	D4/MOSI2/IO4		-									1	0	0	0	0	0	G_HPBX0000@7,49	Q0_SLICE@28,41	
P8	8	50	13	B	PICB0	CS1N		-									1	0	0	0	0	0	G_HPBX0000@14,49	Q0_SLICE@23,28	
R1	6	35	0	B	PICL0	VREF1_6	LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0000@1,35	Q4_SLICE@11,27	
R12	3	44	72	A	PICR0_DQS2		RDQS44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,44	JQ4@1,2	
R13	3	41	72	C	PICR0		RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,43	H02W0501@71,43	
R14	3	41	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,41	Q5_SLICE@68,31	
R15	3	38	72	C	PICR0		RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,40	Q4_SLICE@70,17	
R16	3	35	72	B	PICR0	VREF1_3	RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	1	G_HPBX0100@71,35		
R2	6	38	0	C	PICL0		LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,40	H02E0501@1,40	
R3	6	41	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,41	H06E0103@1,33	
R4	6	41	0	C	PICL0		LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,43	Q7_SLICE@47,27	
R5	6	44	0	A	PICL0_DQS2		LDQS44	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,44	H06E0203@1,24	
R6	8	50	4	B	EFB0_PICB0	D6/IO6		-									1	0	0	0	0	0	G_HPBX0300@5,49	V02N0001@5,49	
R7	8	50	6	A	EFB2_PICB0	D5/MISO2/IO5		INPUT_LVTTL33		UP		ON	ON			CEIMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSROMUX=LSRMUX	0	0	0	0	0	0	G_HPBX0000@6,49		
R8	8	50	13	A	PICB0	SN/CSN		OUTPUT_LVCMOS25	4	NONE			ON			CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@13,49	Q0_SLICE@28,35	
T13	3	44	72	B	PICR0_DQS2		RDQSN44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,44	Q4_SLICE@68,31	
T14	3	41	72	D	PICR0		RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,43	H02W0701@71,43	
T15	3	38	72	D	PICR0		RDQ44	-									1	0	0	0	0	0	G_HPBX0000@71,40	H02W0301@71,40	
T2	6	38	0	D	PICL0		LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,40	Q4_SLICE@50,27	
T3	6	41	0	D	PICL0		LDQ44	-									1	0	0	0	0	0	G_HPBX0000@1,43	H06E0303@0,43	
T4	6	44	0	B	PICL0_DQS2		LDQSN44	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX;MTDDRX.REGSET=SET;OUTREG.REGSET=SET;TSREG.REGSET=SET	1	0	1	1	0	0	G_HPBX0000@1,44	H02E0701@1,44	H02E0301@1,44
T6	8	50	4	A	EFB0_PICB0	D7/IO7		BIDIR_LVTTL33	16	UP		ON	ON	OFF		CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX;SRMODE=LSR_OVER_CE	1	0	1	1	0	0	G_HPBX0000@4,49	V06N0303@4,50	JQ4@1,2
T7	8	50	11	A	PICB0	D1/MISO/IO1		INPUT_LVTTL33				ON	ON			CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSROMUX=LSRMUX	0	0	0	1	0	0	G_HPBX0000@11,49		
T8	8	50	11	B	PICB0	D0/MOSI/IO0		-									1	0	0	0	0	0	G_HPBX0000@12,49	F6@29,48	
